"V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V2.1","V3.1","V3.2","V3.3","V4.1","V4.2","V4.3","V5.1","V6.1","V6.2","V6.3","V6.4","V7.1","V7.2","V7.3","V7.4","V8.1","V9.1","V10.1","V10.2","V10.3","V12.1","V20.1","V21.1","V21.2","V21.3","V21.4","V22.1","V22.2","V22.3","V22.4","V23.1","V24.1","V25.1","V26.1","V27.1","V28.1","V35.1","target"
"0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1"
"0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1"
"0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1"
"0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1"
"0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","1","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","1","2"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","3"
"0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","1","1","1","0","1","3"
"0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","1","1","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","3"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","0","1","0","1","1","1","0","1","3"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","1","1","1","0","1","3"
"0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","3"
"0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","1","1","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","3"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","1","1","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","1","1","1","0","0","3"
"0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","1","3"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","0","1","0","1","1","1","0","1","3"
"0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","1","1","1","0","0","4"
"1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1","0","1","1","1","0","0","4"
"0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","4"
"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","4"
"1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","1","1","1","0","0","4"
"0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","0","0","4"
"0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","4"
"0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","1","1","1","0","0","4"
"0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","4"
"1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","1","0","0","4"
"1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","4"
